,feat,imp
356,GRJCJS_DKFFE_std,0
357,GRJCJS_DKYE_sum,0
358,GRJCJS_DKYE_mean,0
359,GRJCJS_DKYE_std,0
360,GRJCJS_DKYE_max,0
361,GRJCJS_DKLL_std,0
362,GRJCJS_YEARPURINCM_sum,0
363,GRJCJS_YEARPURINCM_mean,0
364,GRJCJS_YEARPURINCM_std,0
365,GRJCJS_YEARPURINCM_max,0
366,GRJCJS_HDZYF_mean,0
367,GRJCJS_HDZYF_std,0
368,GRJCJS_HDZYF_max,0
369,GRJCJS_HDZYF_min,0
370,GRJCJS_HDSYYF_std,0
371,GRJCJS_HDSYYF_max,0
372,GRJCJS_HDYF_sum,0
373,GRJCJS_HDYF_mean,0
374,GRJCJS_HDYF_std,0
375,GRJCJS_HDYF_min,0
376,GRJCJS_USAGE_RATE_sum,0
377,GRJCJS_USAGE_RATE_mean,0
378,GRJCJS_USAGE_RATE_std,0
379,GRJCJS_GJJRATE_std,0
380,GRJCJS_TOP_USER_mean,0
381,GRJCJS_TOP_USER_std,0
382,GRJCJS_TOP_USER1_mean,0
383,GRJCJS_TOP_USER1_std,0
384,GRJCJS_WITHDRAW_sum,0
385,GRJCJS_WITHDRAW_std,0
386,GRJCJS_WITHDRAW_min,0
387,GRJCJS_USAGE_AMOUNT_sum,0
388,GRJCJS_USAGE_AMOUNT_mean,0
389,GRJCJS_USAGE_AMOUNT_std,0
390,GRJCJS_WITHDRAW_SUBMIT_sum,0
391,GRJCJS_WITHDRAW_SUBMIT_mean,0
392,GRJCJS_WITHDRAW_SUBMIT_std,0
393,GRJCJS_DKXE_sum,0
394,GRJCJS_DKXE_std,0
395,GRJCJS_DKXE_min,0
396,GRZHYE_HDYF_min,0
397,GRZHYE_DKXE_sum,0
398,GRZHSNJZYE_DKXE_sum,0
399,GRZHDNGJYE_GRJCJS_sum,0
400,GRZHDNGJYE_GRYJCE_sum,0
401,GRZHDNGJYE_DKFFE_std,0
402,GRZHDNGJYE_DKXE_sum,0
403,GRYJCE_GRJCJS_max,0
404,GRYJCE_GRZHYE_std,0
405,GRYJCE_GRZHSNJZYE_sum,0
406,GRYJCE_GRZHSNJZYE_mean,0
407,GRYJCE_GRZHSNJZYE_std,0
408,GRYJCE_GRZHDNGJYE_sum,0
409,GRYJCE_GRZHDNGJYE_std,0
410,GRYJCE_GRZHDNGJYE_max,0
411,GRYJCE_GRZHDNGJYE_min,0
412,GRYJCE_DKFFE_mean,0
413,GRYJCE_DKFFE_std,0
414,GRYJCE_DKYE_mean,0
415,GRYJCE_DKYE_std,0
416,GRYJCE_DKYE_max,0
417,GRYJCE_DKLL_std,0
418,GRYJCE_YEARPURINCM_sum,0
419,GRYJCE_YEARPURINCM_mean,0
420,GRYJCE_YEARPURINCM_std,0
421,GRYJCE_YEARPURINCM_max,0
422,GRYJCE_HDZYF_sum,0
423,GRYJCE_HDZYF_mean,0
424,GRYJCE_HDZYF_std,0
425,GRYJCE_HDZYF_max,0
426,GRYJCE_HDZYF_min,0
427,GRYJCE_HDSYYF_mean,0
428,GRYJCE_HDSYYF_std,0
429,GRYJCE_HDYF_sum,0
430,GRYJCE_HDYF_mean,0
431,GRYJCE_HDYF_std,0
432,GRYJCE_HDYF_min,0
433,GRYJCE_USAGE_RATE_mean,0
434,GRYJCE_USAGE_RATE_std,0
435,GRYJCE_TOP_USER_std,0
436,GRYJCE_TOP_USER1_std,0
437,GRYJCE_WITHDRAW_sum,0
438,GRYJCE_USAGE_AMOUNT_sum,0
439,GRYJCE_USAGE_AMOUNT_mean,0
440,GRYJCE_USAGE_AMOUNT_std,0
441,GRYJCE_WITHDRAW_SUBMIT_std,0
442,GRYJCE_DKXE_sum,0
443,GRYJCE_DKXE_std,0
444,GRYJCE_DKXE_min,0
445,DKYE_GRYJCE_std,0
446,DKYE_YEARPURINCM_max,0
447,DKYE_DKXE_mean,0
448,HDZYF_GRJCJS_sum,0
449,HDZYF_GRZHYE_sum,0
450,HDZYF_GRZHDNGJYE_sum,0
451,HDZYF_GRYJCE_sum,0
452,HDZYF_DKYE_std,0
453,HDZYF_YEARPURINCM_sum,0
454,HDZYF_HDSYYF_std,0
455,HDZYF_HDYF_min,0
456,HDZYF_USAGE_RATE_mean,0
457,HDZYF_WITHDRAW_SUBMIT_std,0
458,HDZYF_DKXE_sum,0
459,HDZYF_DKXE_mean,0
460,HDZYF_DKXE_min,0
461,HDZYFZE_GRZHYE_std,0
462,HDZYFZE_YEARPURINCM_mean,0
463,HDZYFZE_HDYF_std,0
464,HDZYFZE_USAGE_RATE_std,0
465,HDZYFZE_GJJRATE_std,0
466,HDZYFZE_WITHDRAW_std,0
467,HDZYFZE_WITHDRAW_SUBMIT_std,0
468,HDZYFZE_DKXE_std,0
469,USAGE_RATE_GRJCJS_mean,0
470,USAGE_RATE_GRZHYE_mean,0
471,USAGE_RATE_GRZHSNJZYE_min,0
472,USAGE_RATE_YEARPURINCM_sum,0
