,index,column,importance
133,111,GRZHZT_in_DWJJLX_prop,44.0
134,1081,GRYJCE_HDZYFZE_std,43.0
135,623,GRJCJS_YEARPURINCM_min,43.0
136,891,GRZHDNGJYE_DKFFE_std,43.0
137,570,GRJCJS_DKLL_mean,43.0
138,540,GRJCJS_GRZHYE_mean,43.0
139,289,DWSSHY_DKYE_mean,43.0
140,3353,numsOf_GRZHDNGJYE_GRZHDNGJYE_GRZHSNJZYE2_div,42.0
141,998,GRYJCE_GRZHDNGJYE_min,42.0
142,2617,HDZYF_HDYF_min,42.0
143,3197,numsOf_GRZHYE_GRZHDNGJYE_GRZHSNJZYE2_div,42.0
144,588,GRJCJS_GRZHDNGJYE_GRZHSNJZYE_min,42.0
145,2521,HDZYF_GRJCJS_max,42.0
146,616,GRJCJS_GRZHYE_diff_GRZHSNJZYE_std,42.0
147,554,GRJCJS_GRYJCE_sum,42.0
148,2575,HDZYF_GRZHDNGJYE_GRZHSNJZYE1_std,42.0
149,3817,numsOf_GRZHDNGJYE_GRZHSNJZYE1_GRZHDNGJYE_GRZHSNJZYE2_div,42.0
150,901,GRZHDNGJYE_DKLL_std,41.0
151,3109,numsOf_GRJCJS_GRZHDNGJYE_GRZHSNJZYE1_div,41.0
152,109,DWJJLX_GRZHZT_count,41.0
153,634,GRJCJS_HDYF_sum,41.0
154,262,DWSSHY_GRJCJS_min,41.0
155,3848,numsOf_GRZHDNGJYE_GRZHSNJZYE1_HDYF_multi,41.0
156,3213,numsOf_GRZHYE_GRZHYE_diff_GRZHSNJZYE_div,40.0
157,2603,HDZYF_YEARPURINCM_sum,40.0
158,3454,numsOf_GRYJCE_HDYF_add,40.0
159,257,DWJJLX_DKFFE_genFeat7_mean,40.0
160,3228,numsOf_GRZHYE_HDYF_multi,40.0
161,1077,GRYJCE_HDYF_max,40.0
162,2864,HDZYFZE_GRZHDNGJYE_mean,40.0
163,2535,HDZYF_GRZHDNGJYE_std,40.0
164,1063,GRYJCE_YEARPURINCM_min,39.0
165,598,GRJCJS_GRZHDNGJYE_GRZHSNJZYE2_min,39.0
166,575,GRJCJS_DKFFE_DKYE_mean,39.0
167,349,DWSSHY_HDZYF_min,39.0
168,1028,GRYJCE_GRZHDNGJYE_GRZHSNJZYE_min,39.0
169,548,GRJCJS_GRZHSNJZYE_min,39.0
170,971,GRZHDNGJYE_HDZYFZE_std,39.0
171,946,GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE_std,39.0
172,2533,HDZYF_GRZHDNGJYE_sum,39.0
173,1052,GRYJCE_GRZHYE_diff_GRZHDNGJYE_max,39.0
174,3308,numsOf_GRZHSNJZYE_HDYF_multi,38.0
175,3804,numsOf_GRZHDNGJYE_GRZHSNJZYE_HDYF_multi,38.0
176,3573,numsOf_DKYE_GRZHYE_diff_GRZHSNJZYE_div,38.0
177,3117,numsOf_GRJCJS_DKFFE_multi_DKLL_ratio_div,38.0
178,3120,numsOf_GRJCJS_DKYE_multi_DKLL_ratio_multi,38.0
179,3849,numsOf_GRZHDNGJYE_GRZHSNJZYE1_HDYF_div,38.0
180,152,DWJJLX_DKLL_std,38.0
181,2850,HDZYFZE_GRJCJS_std,38.0
182,3516,numsOf_DKFFE_HDZYF_multi,38.0
183,592,GRJCJS_GRZHDNGJYE_GRZHSNJZYE1_max,37.0
184,2518,HDZYF_GRJCJS_sum,37.0
185,1020,GRYJCE_DKFFE_DKY_multi_DKLL_mean,37.0
186,3833,numsOf_GRZHDNGJYE_GRZHSNJZYE1_GRZHYE_diff_GRZHSNJZYE_div,37.0
187,383,DWSSHY_DKFFE_genFeat1_mean,37.0
188,4020,numsOf_YEARPURINCM_HDZYF_multi,36.0
189,3976,numsOf_GRZHYE_diff_GRZHDNGJYE_HDZYF_multi,36.0
190,599,GRJCJS_DKFFE_multi_DKLL_ratio_sum,36.0
191,578,GRJCJS_DKFFE_DKYE_min,36.0
192,3969,numsOf_GRZHYE_diff_GRZHDNGJYE_GRZHYE_diff_GRZHSNJZYE_div,36.0
193,585,GRJCJS_GRZHDNGJYE_GRZHSNJZYE_mean,36.0
194,931,GRZHDNGJYE_DKFFE_multi_DKLL_ratio_std,36.0
195,2583,HDZYF_DKFFE_multi_DKLL_ratio_sum,36.0
196,3297,numsOf_GRZHSNJZYE_YEARPURINCM_div,36.0
197,3445,numsOf_GRYJCE_YEARPURINCM_div,36.0
198,542,GRJCJS_GRZHYE_max,36.0
199,3289,numsOf_GRZHSNJZYE_GRZHYE_diff_GRZHDNGJYE_div,36.0
200,2525,HDZYF_GRZHYE_std,36.0
201,1074,GRYJCE_HDYF_sum,36.0
202,259,DWSSHY_GRJCJS_mean,36.0
203,632,GRJCJS_HDSYYF_max,36.0
204,2572,HDZYF_GRZHDNGJYE_GRZHSNJZYE_min,36.0
205,2538,HDZYF_GRYJCE_sum,35.0
206,3273,numsOf_GRZHSNJZYE_GRZHDNGJYE_GRZHSNJZYE1_div,35.0
207,338,DWSSHY_GRZHYE_diff_GRZHSNJZYE_max,35.0
208,369,DWSSHY_DKYE_genFeat1_mean,35.0
