,index,column,importance
252,129,GRYJCE_HDZYF_std,446.0
253,111,GRYJCE_GRZHYE_max,440.0
254,148,GRYJCE_WITHDRAW_mean,439.0
255,228,DKXE_USAGE_RATE_std,438.0
256,132,GRYJCE_HDSYYF_min,435.0
257,21,DWSSHY_in_XINGBIE_prop,434.0
258,12,DWJJLX_WITHSIGN_count,432.0
259,150,GRYJCE_USAGE_AMOUNT_sum,430.0
260,46,GRJCJS_GRZHSNJZYE_max,430.0
261,27,DWSSHY_in_WITHSIGN_prop,429.0
262,174,HDZYF_WITHDRAW_SUBMIT_std,424.0
263,96,GRJCJS_DKXE_sum,424.0
264,42,GRJCJS_GRZHYE_max,420.0
265,151,GRYJCE_USAGE_AMOUNT_mean,420.0
266,112,GRYJCE_GRZHYE_min,418.0
267,109,GRYJCE_GRZHYE_mean,412.0
268,100,GRJCJS_DKXE_min,412.0
269,99,GRJCJS_DKXE_max,409.0
270,43,GRJCJS_GRZHYE_min,408.0
271,65,GRJCJS_HDSYYF_mean,406.0
272,237,GRJCJS_DWSSHY_max,406.0
273,155,GRYJCE_DKXE_sum,406.0
274,239,GRYJCE_DWSSHY_max,405.0
275,173,HDZYF_USAGE_AMOUNT_std,400.0
276,20,DWSSHY_XINGBIE_count,400.0
277,106,GRZHDNGJYE_DKXE_max,400.0
278,16,DWJJLX_in_GJJRATE_prop,399.0
279,97,GRJCJS_DKXE_mean,398.0
280,118,GRYJCE_GRZHDNGJYE_mean,398.0
281,71,GRJCJS_HDYF_max,397.0
282,76,GRJCJS_HDSYYFZE_min,396.0
283,204,DKXE_GRZHSNJZYE_std,393.0
284,92,GRJCJS_USAGE_AMOUNT_max,389.0
285,216,DKXE_YEARPURINCM_std,386.0
286,1,GRZHZT,385.0
287,219,DKXE_HDSYYF_std,384.0
288,198,WITHDRAW_SUBMIT_DKXE_mean,382.0
289,14,WITHSIGN_in_DWJJLX_prop,379.0
290,156,GRYJCE_DKXE_mean,377.0
291,222,DKXE_HDYF_std,376.0
292,39,GRZHZT_WITHDRAW_mean,374.0
293,105,GRZHDNGJYE_DKXE_mean,368.0
294,79,GRJCJS_GJJRATE_mean,360.0
295,159,GRYJCE_DKXE_min,358.0
296,89,GRJCJS_USAGE_AMOUNT_sum,353.0
297,144,GRYJCE_GJJRATE_std,352.0
298,234,DKXE_USAGE_AMOUNT_std,348.0
299,93,GRJCJS_USAGE_AMOUNT_min,347.0
300,236,DKXE_WITHDRAW_SUBMIT_std,344.0
301,52,GRJCJS_GRYJCE_sum,341.0
302,18,DWJJLX_GJSIGN_count,340.0
303,206,DKXE_GRZHDNGJYE_std,339.0
304,107,GRYJCE_GRJCJS_std,331.0
305,143,GRYJCE_USAGE_RATE_max,329.0
306,136,GRYJCE_HDYF_min,325.0
307,68,GRJCJS_HDSYYF_min,321.0
308,135,GRYJCE_HDYF_max,321.0
309,232,DKXE_WITHDRAW_std,315.0
310,240,GRYJCE_DWSSHY_min,315.0
311,32,DWSSHY_WITHSIGN2_count,312.0
312,138,GRYJCE_HDZYFZE_std,308.0
313,238,GRJCJS_DWSSHY_min,307.0
314,153,GRYJCE_USAGE_AMOUNT_min,289.0
315,35,XINGBIE_in_GJJRATE_prop,275.0
